GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cellbase-core,org.opencb.cellbase.core.grpc.service,GeneServiceGrpc,155,0,0,0,50,0,6,0,6,0
cellbase-core,org.opencb.cellbase.core.grpc.service,RegulatoryRegionServiceGrpc.RegulatoryRegionServiceBlockingStub,68,0,0,0,17,0,9,0,9,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantAnnotationServiceGrpc,57,0,0,0,15,0,6,0,6,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenericServiceModel.Request,810,0,95,0,222,0,100,0,50,0
cellbase-core,org.opencb.cellbase.core.grpc.service,RegulatoryRegionServiceGrpc.RegulatoryRegionServiceStub,75,0,0,0,23,0,9,0,9,0
cellbase-core,org.opencb.cellbase.core.grpc.service,TranscriptServiceGrpc.TranscriptServiceBlockingStub,77,0,0,0,19,0,10,0,10,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenomicRegionServiceModel,70,0,0,0,22,0,5,0,5,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantServiceModel,48,0,0,0,16,0,5,0,5,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantServiceGrpc.VariantServiceBlockingStub,68,0,0,0,17,0,9,0,9,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantAnnotationServiceModel.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GeneServiceGrpc.GeneServiceBlockingStub,92,0,0,0,23,0,12,0,12,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenericServiceModel.Request.OptionsDefaultEntryHolder,11,0,0,0,4,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.grpc.service,TranscriptServiceGrpc.TranscriptServiceImplBase,91,0,0,0,31,0,9,0,9,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GeneServiceGrpc.MethodHandlers,87,0,10,0,27,0,12,0,3,0
cellbase-core,org.opencb.cellbase.core.grpc.service,RegulatoryRegionServiceGrpc.RegulatoryRegionServiceImplBase,79,0,0,0,27,0,8,0,8,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenomicRegionServiceGrpc.GenomicRegionServiceImplBase,79,0,0,0,27,0,8,0,8,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenomicRegionServiceGrpc,113,0,0,0,35,0,6,0,6,0
cellbase-core,org.opencb.cellbase.core.grpc.service,TranscriptServiceGrpc.MethodHandlers,73,0,8,0,23,0,10,0,3,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenericServiceModel.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenericServiceModel.Request.QueryDefaultEntryHolder,11,0,0,0,4,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.grpc.service,RegulatoryRegionServiceGrpc.RegulatoryRegionServiceFutureStub,60,0,0,0,15,0,8,0,8,0
cellbase-core,org.opencb.cellbase.core.grpc.service,TranscriptServiceGrpc,127,0,0,0,40,0,6,0,6,0
cellbase-core,org.opencb.cellbase.core.grpc.service,GenomicRegionServiceModel.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.grpc.service,VariantAnnotationServiceGrpc.MethodHandlers,38,0,3,0,13,0,5,0,3,0
cellbase-core,org.opencb.cellbase.core.loader,CellBaseLoader,40,0,2,0,15,0,2,0,1,0
cellbase-core,org.opencb.cellbase.core.loader,LoaderException,9,0,0,0,4,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.loader,LoadRunner,461,0,30,0,71,0,21,0,6,0
cellbase-core,org.opencb.cellbase.core.common.core,Xref,84,0,4,0,25,0,15,0,13,0
cellbase-core,org.opencb.cellbase.core.common.core,MiRNAGene,75,0,0,0,28,0,14,0,14,0
cellbase-core,org.opencb.cellbase.core.common.core,Exon,156,0,0,0,60,0,30,0,30,0
cellbase-core,org.opencb.cellbase.core.common.core,CpGIsland,106,0,0,0,44,0,22,0,22,0
cellbase-core,org.opencb.cellbase.core.common.core,TranscriptTfbs,101,0,0,0,40,0,20,0,20,0
cellbase-core,org.opencb.cellbase.core.common.core,Gene,203,0,0,0,54,0,27,0,27,0
cellbase-core,org.opencb.cellbase.core.common.core,Chromosome,76,0,0,0,32,0,16,0,16,0
cellbase-core,org.opencb.cellbase.core.common.core,Cytoband,46,0,0,0,20,0,10,0,10,0
cellbase-core,org.opencb.cellbase.core.common.core,MiRNAGene.MiRNAMature,36,0,0,0,14,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.common.core,GenomeSequenceChunk,83,0,0,0,32,0,16,0,16,0
cellbase-core,org.opencb.cellbase.core.common.core,Transcript,290,0,0,0,77,0,39,0,39,0
cellbase-core,org.opencb.cellbase.core.variant,ClinicalPhasedQueryManager,37,0,8,0,9,0,7,0,3,0
cellbase-core,org.opencb.cellbase.core.variant,PhasedQueryManager,361,0,100,0,68,0,59,0,9,0
cellbase-core,org.opencb.cellbase.core.variant,PopulationFrequencyPhasedQueryManager,176,0,26,0,35,0,21,0,8,0
cellbase-core,org.opencb.cellbase.core.variant,CustomAnnotationPhasedQueryManager,81,0,12,0,18,0,9,0,3,0
cellbase-core,org.opencb.cellbase.core.variant,AnnotationBasedPhasedQueryManager,100,0,14,0,24,0,9,0,2,0
cellbase-core,org.opencb.cellbase.core.serializer,CellBaseJsonFileSerializer,162,0,8,0,43,0,15,0,11,0
cellbase-core,org.opencb.cellbase.core.common.clinical.gwas,GwasStudy,166,0,6,0,59,0,29,0,26,0
cellbase-core,org.opencb.cellbase.core.common.clinical.gwas,GwasTrait,68,0,2,0,24,0,13,0,12,0
cellbase-core,org.opencb.cellbase.core.common.clinical.gwas,Gwas,305,0,4,0,99,0,40,0,38,0
cellbase-core,org.opencb.cellbase.core.common.clinical.gwas,GwasTest,56,0,0,0,23,0,12,0,12,0
cellbase-core,org.opencb.cellbase.core.common.drug,DrugPartnerInteraction,38,0,0,0,17,0,11,0,11,0
cellbase-core,org.opencb.cellbase.core.common.drug,Drug,136,0,0,0,59,0,39,0,39,0
cellbase-core,org.opencb.cellbase.core.common.drug,XRef,45,0,0,0,20,0,9,0,9,0
cellbase-core,org.opencb.cellbase.core.common.drug,Interactor,39,0,0,0,17,0,8,0,8,0
cellbase-core,org.opencb.cellbase.core.common.drug,Partner,66,0,0,0,29,0,19,0,19,0
cellbase-core,org.opencb.cellbase.core.common.genedisease,Disgenet,33,0,0,0,14,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,CellBaseNormalizerSequenceAdaptor,73,0,6,0,12,0,5,0,2,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,VariantAnnotationCalculator.FutureClinicalAnnotator,327,0,40,0,78,0,31,0,10,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,VariantAnnotationUtils,2281,0,84,0,376,0,56,0,14,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,VariantAnnotationCalculator,3472,0,413,0,676,0,258,0,46,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,VariantAnnotationCalculator.FutureVariationAnnotator,118,0,20,0,28,0,13,0,3,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,ConsequenceTypeDeletionCalculator,1769,0,212,0,296,0,116,0,10,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,VariantAnnotationCalculator.FutureConservationAnnotator,150,0,12,0,34,0,10,0,4,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,VariantAnnotationCalculator.FutureVariantFunctionalScoreAnnotator,76,0,8,0,20,0,7,0,3,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,ConsequenceTypeGenericRegionCalculator,3570,0,362,0,473,0,195,0,14,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,ConsequenceTypeCalculator,1015,0,176,0,161,0,122,0,19,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,VariantAnnotationCalculator.new Object() {...},61,0,0,0,1,0,1,0,1,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,ConsequenceTypeBNDCalculator,321,0,38,0,56,0,24,0,5,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,VariantAnnotationCalculator.FutureRepeatsAnnotator,142,0,14,0,32,0,10,0,3,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,VariantAnnotationCalculator.FutureCytobandAnnotator,179,0,18,0,37,0,12,0,3,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,ConsequenceTypeMNVCalculator,1213,0,134,0,195,0,74,0,7,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,ConsequenceTypeInsertionCalculator,2787,0,354,0,482,0,195,0,18,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,ConsequenceTypeCNVGainCalculator,287,0,30,0,47,0,17,0,2,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,ConsequenceTypeSNVCalculator,2290,0,252,0,375,0,139,0,13,0
cellbase-core,org.opencb.cellbase.core.variant.annotation,UnsupportedURLVariantFormat,7,0,0,0,4,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.variant.annotation.hgvs,HgvsInsertionCalculator,277,0,10,0,47,0,9,0,4,0
cellbase-core,org.opencb.cellbase.core.variant.annotation.hgvs,HgvsDeletionCalculator,164,0,2,0,30,0,5,0,4,0
cellbase-core,org.opencb.cellbase.core.variant.annotation.hgvs,HgvsCalculator,1077,0,105,0,201,0,72,0,19,0
cellbase-core,org.opencb.cellbase.core.variant.annotation.hgvs,HgvsSNVCalculator,92,0,4,0,20,0,5,0,3,0
cellbase-core,org.opencb.cellbase.core.variant.annotation.hgvs,HgvsStringBuilder.Kind,38,0,0,0,1,0,4,0,4,0
cellbase-core,org.opencb.cellbase.core.variant.annotation.hgvs,CdnaCoord.Landmark,48,0,0,0,2,0,4,0,4,0
cellbase-core,org.opencb.cellbase.core.variant.annotation.hgvs,HgvsCalculator.new Object() {...},19,0,0,0,1,0,1,0,1,0
cellbase-core,org.opencb.cellbase.core.variant.annotation.hgvs,HgvsStringBuilder,317,0,16,0,65,0,38,0,30,0
cellbase-core,org.opencb.cellbase.core.variant.annotation.hgvs,CdnaCoord,153,0,26,0,41,0,23,0,10,0
cellbase-core,org.opencb.cellbase.core.monitor,HealthStatus.ApplicationDetails.Version,26,0,0,0,12,0,6,0,6,0
cellbase-core,org.opencb.cellbase.core.monitor,HealthStatus.ApplicationDetails,51,0,0,0,20,0,13,0,13,0
cellbase-core,org.opencb.cellbase.core.monitor,Monitor,356,0,20,0,85,0,22,0,12,0
cellbase-core,org.opencb.cellbase.core.monitor,HealthStatus.ApplicationDetails.DependenciesStatus,10,0,0,0,5,0,3,0,3,0
cellbase-core,org.opencb.cellbase.core.monitor,HealthStatus.Infrastructure,28,0,0,0,12,0,6,0,6,0
cellbase-core,org.opencb.cellbase.core.monitor,HealthStatus,27,0,0,0,11,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.monitor,HealthStatus.Service,27,0,0,0,10,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.monitor,HealthStatus.ApplicationDetails.DependenciesStatus.DatastoreDependenciesStatus,10,0,0,0,5,0,3,0,3,0
cellbase-core,org.opencb.cellbase.core.monitor,HealthStatus.ServiceStatus,58,0,0,0,1,0,4,0,4,0
cellbase-core,org.opencb.cellbase.core.monitor,HealthStatus.ApplicationDetails.DependenciesStatus.DatastoreDependenciesStatus.DatastoreStatus,24,0,0,0,11,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.common.protein,FunctionPrediction,38,0,0,0,17,0,11,0,11,0
cellbase-core,org.opencb.cellbase.core.common.protein,Score,26,0,0,0,12,0,6,0,6,0
cellbase-core,org.opencb.cellbase.core.common.protein,Psimi,26,0,0,0,12,0,6,0,6,0
cellbase-core,org.opencb.cellbase.core.common.protein,XRef,45,0,0,0,20,0,9,0,9,0
cellbase-core,org.opencb.cellbase.core.common.protein,Interactor,38,0,0,0,17,0,11,0,11,0
cellbase-core,org.opencb.cellbase.core.common.protein,Interaction,73,0,0,0,32,0,21,0,21,0
cellbase-core,org.opencb.cellbase.core.common.variation,Variation,277,0,0,0,98,0,45,0,45,0
cellbase-core,org.opencb.cellbase.core.common.variation,PopulationFrequency,56,0,0,0,24,0,12,0,12,0
cellbase-core,org.opencb.cellbase.core.common.variation,ConsequenceType,69,0,0,0,21,0,11,0,11,0
cellbase-core,org.opencb.cellbase.core.common.variation,StructuralVariation,126,0,0,0,52,0,26,0,26,0
cellbase-core,org.opencb.cellbase.core.common.variation,Mutation,286,0,0,0,116,0,58,0,58,0
cellbase-core,org.opencb.cellbase.core.common.variation,MutationPhenotypeAnnotation,176,0,0,0,72,0,36,0,36,0
cellbase-core,org.opencb.cellbase.core.common.variation,TranscriptVariation,203,0,0,0,82,0,41,0,41,0
cellbase-core,org.opencb.cellbase.core.common.variation,Xref,39,0,0,0,16,0,8,0,8,0
cellbase-core,org.opencb.cellbase.core.common.variation,SampleGenotype,3,0,0,0,1,0,1,0,1,0
cellbase-core,org.opencb.cellbase.core.common.variation,Phenotype,93,0,0,0,38,0,19,0,19,0
cellbase-core,org.opencb.cellbase.core.common.variation,GenomicVariantEffect,476,0,0,0,160,0,65,0,65,0
cellbase-core,org.opencb.cellbase.core.common.pathway,Interaction,19,0,0,0,8,0,3,0,3,0
cellbase-core,org.opencb.cellbase.core.common.pathway,PhysicalEntity,19,0,0,0,8,0,3,0,3,0
cellbase-core,org.opencb.cellbase.core.common.pathway,ComplexComponent.TYPE,88,0,0,0,1,0,4,0,4,0
cellbase-core,org.opencb.cellbase.core.common.pathway,ComplexComponent,62,0,0,0,18,0,11,0,11,0
cellbase-core,org.opencb.cellbase.core.common.pathway,BiopaxPathway,173,0,8,0,42,0,16,0,12,0
cellbase-core,org.opencb.cellbase.core.common.pathway,SubPathway,20,0,0,0,7,0,2,0,2,0
cellbase-core,org.opencb.cellbase.core.common,ConservationScoreRegion,53,0,0,0,22,0,11,0,11,0
cellbase-core,org.opencb.cellbase.core.common,GitRepositoryState,360,0,2,0,54,0,26,0,25,0
cellbase-core,org.opencb.cellbase.core.common,Species,78,0,0,0,24,0,11,0,11,0
cellbase-core,org.opencb.cellbase.core.common,Region,331,0,44,0,64,0,36,0,14,0
cellbase-core,org.opencb.cellbase.core.common,IntervalFeatureFrequency,81,0,0,0,23,0,12,0,12,0
cellbase-core,org.opencb.cellbase.core.common,DNASequenceUtils,783,0,8,0,152,0,9,0,5,0
cellbase-core,org.opencb.cellbase.core.common.clinical,ClinvarPublicSet,19,0,0,0,6,0,3,0,3,0
cellbase-core,org.opencb.cellbase.core.common.clinical,Cosmic,200,0,0,0,86,0,57,0,57,0
cellbase-core,org.opencb.cellbase.core.common.clinical,ClinicalVariant,69,0,0,0,29,0,14,0,14,0
cellbase-core,org.opencb.cellbase.core.api,FeatureDBAdaptor,243,0,14,0,44,0,15,0,8,0
cellbase-core,org.opencb.cellbase.core.api,DBAdaptorFactory,91,0,16,0,25,0,14,0,6,0
cellbase-core,org.opencb.cellbase.core.api,ConservationDBAdaptor.QueryParams,46,0,0,0,10,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.api,TranscriptDBAdaptor,23,0,2,0,5,0,2,0,1,0
cellbase-core,org.opencb.cellbase.core.api,GenomeDBAdaptor.QueryParams,49,0,0,0,10,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.api,TranscriptDBAdaptor.QueryParams,127,0,0,0,16,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.api,VariantDBAdaptor.QueryParams,283,0,0,0,28,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.api,ClinicalDBAdaptor.QueryParams,413,0,0,0,38,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.api,VariantDBAdaptor,222,0,24,0,38,0,15,0,3,0
cellbase-core,org.opencb.cellbase.core.api,CellBaseDBAdaptor,105,0,4,0,19,0,10,0,8,0
cellbase-core,org.opencb.cellbase.core.api,ProteinProteinInteractionDBAdaptor.QueryParams,140,0,0,0,17,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.api,GeneDBAdaptor.QueryParams,296,0,0,0,29,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.api,GenomeDBAdaptor,90,0,2,0,13,0,8,0,7,0
cellbase-core,org.opencb.cellbase.core.api,ProteinDBAdaptor.QueryParams,127,0,0,0,16,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.api,XRefDBAdaptor.QueryParams,62,0,0,0,11,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.api,RepeatsDBAdaptor.QueryParams,49,0,0,0,10,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.api,RegulationDBAdaptor.FeatureType,329,0,0,0,32,0,4,0,4,0
cellbase-core,org.opencb.cellbase.core.api,RegulationDBAdaptor.QueryParams,114,0,0,0,15,0,7,0,7,0
cellbase-core,org.opencb.cellbase.core.common.regulatory,MirnaTarget,136,0,0,0,56,0,28,0,28,0
cellbase-core,org.opencb.cellbase.core.common.regulatory,MirnaGeneToMature,36,0,0,0,16,0,8,0,8,0
cellbase-core,org.opencb.cellbase.core.common.regulatory,Tfbs,176,0,0,0,72,0,36,0,36,0
cellbase-core,org.opencb.cellbase.core.common.regulatory,Pwm,141,0,0,0,51,0,21,0,21,0
cellbase-core,org.opencb.cellbase.core.common.regulatory,ConservedRegion,196,0,0,0,80,0,40,0,40,0
cellbase-core,org.opencb.cellbase.core.common.regulatory,RegulatoryRegion,167,0,0,0,61,0,25,0,25,0
cellbase-core,org.opencb.cellbase.core.common.regulatory,MirnaToGene,46,0,0,0,20,0,10,0,10,0
cellbase-core,org.opencb.cellbase.core.common.regulatory,MirnaDisease,66,0,0,0,28,0,14,0,14,0
cellbase-core,org.opencb.cellbase.core.common.regulatory,MirnaMature,114,0,0,0,36,0,15,0,15,0
cellbase-core,org.opencb.cellbase.core.common.regulatory,MirnaGene,171,0,0,0,51,0,21,0,21,0
cellbase-core,org.opencb.cellbase.core.config,Databases,35,19,0,0,9,8,2,5,2,5
cellbase-core,org.opencb.cellbase.core.config,Species,75,34,0,0,17,15,3,10,3,10
cellbase-core,org.opencb.cellbase.core.config,Species.Assembly,4,20,0,0,2,8,1,6,1,6
cellbase-core,org.opencb.cellbase.core.config,DownloadProperties.EnsemblProperties,4,20,0,0,2,8,1,6,1,6
cellbase-core,org.opencb.cellbase.core.config,SpeciesProperties,75,48,0,0,19,21,3,14,3,14
cellbase-core,org.opencb.cellbase.core.config,DownloadProperties,152,115,0,0,64,39,32,37,32,37
cellbase-core,org.opencb.cellbase.core.config,DatabaseCredentials,61,31,0,0,13,14,2,9,2,9
cellbase-core,org.opencb.cellbase.core.config,CellBaseConfiguration,19,169,15,13,5,41,16,19,2,19
cellbase-core,org.opencb.cellbase.core.config,DownloadProperties.URLProperties,0,10,0,0,0,4,0,3,0,3
