GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cellbase-app,org.opencb.cellbase.app.cli,VariantAnnotationCommandExecutor.new Object() {...},2,17,0,0,0,1,0,1,0,1
cellbase-app,org.opencb.cellbase.app.cli,CliOptionsParser.GeneralOptions,0,6,0,0,0,1,0,1,0,1
cellbase-app,org.opencb.cellbase.app.cli,LoadCommandExecutor,950,0,100,0,172,0,74,0,13,0
cellbase-app,org.opencb.cellbase.app.cli,DownloadCommandExecutor,4178,0,234,0,633,0,168,0,42,0
cellbase-app,org.opencb.cellbase.app.cli,VariantAnnotationCommandExecutor,800,1059,124,99,151,207,98,37,5,16
cellbase-app,org.opencb.cellbase.app.cli,QueryGrpcCommandExecutor,955,0,206,0,207,0,132,0,10,0
cellbase-app,org.opencb.cellbase.app.cli,QueryCommandExecutor,841,0,140,0,154,0,91,0,12,0
cellbase-app,org.opencb.cellbase.app.cli,CliOptionsParser,236,113,12,0,54,21,21,2,15,2
cellbase-app,org.opencb.cellbase.app.cli,CliOptionsParser.DownloadCommandOptions,0,20,0,0,0,6,0,1,0,1
cellbase-app,org.opencb.cellbase.app.cli,CliOptionsParser.VariantAnnotationCommandOptions,0,70,0,0,0,19,0,1,0,1
cellbase-app,org.opencb.cellbase.app.cli,DownloadCommandExecutor.new HashMap() {...},33,0,0,0,8,0,1,0,1,0
cellbase-app,org.opencb.cellbase.app.cli,CommandExecutor,98,71,8,4,20,19,14,3,8,3
cellbase-app,org.opencb.cellbase.app.cli,CliOptionsParser.QueryGrpcCommandOptions,0,13,0,0,0,3,0,1,0,1
cellbase-app,org.opencb.cellbase.app.transform.utils,StringUtils,77,0,2,0,20,0,4,0,3,0
cellbase-app,org.opencb.cellbase.app.transform.utils,VariationUtils,159,96,15,7,45,23,13,4,4,2
cellbase-app,org.opencb.cellbase.app.transform.utils,GenomeSequenceUtils,313,0,44,0,68,0,27,0,5,0
cellbase-app,org.opencb.cellbase.app.transform.formats,ConservedRegionFeature,65,0,0,0,24,0,12,0,12,0
cellbase-app,org.opencb.cellbase.app.transform.formats,ConservedRegionFeature.ConservedRegionSource,23,0,0,0,10,0,5,0,5,0
cellbase-app,org.opencb.cellbase.app.transform.formats,Cadd.CaddValues,15,21,0,0,7,7,4,3,4,3
cellbase-app,org.opencb.cellbase.app.transform.formats,Cadd,146,104,0,0,65,33,41,8,41,8
cellbase-app,org.opencb.cellbase.app.transform.formats,GeneExpressionAtlas.Tissue,34,0,0,0,14,0,7,0,7,0
cellbase-app,org.opencb.cellbase.app.transform.formats,GeneExpressionAtlas,33,0,0,0,14,0,7,0,7,0
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,ClinVarIndexer,313,1972,78,164,58,366,70,82,3,28
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,ClinVarIndexer.VariationData,8,18,0,0,4,6,2,3,2,3
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,IARCTP53Indexer,216,893,41,89,45,205,37,47,3,16
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,CosmicParser,887,0,92,0,171,0,63,0,15,0
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,DOCMIndexer,113,608,25,39,21,120,24,16,0,8
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,ClinicalIndexer,56,282,13,25,13,68,11,19,1,10
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,ClinVarIndexer.AlleleLocationData,8,18,0,0,4,6,2,3,2,3
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,ClinVarParser,762,0,66,0,146,0,50,0,17,0
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,ClinVarParser.EFO,15,0,0,0,5,0,1,0,1,0
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,CosmicIndexer,522,683,110,52,104,155,80,26,4,19
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,ClinVarIndexer.EFO,15,0,0,0,5,0,1,0,1,0
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,ClinicalIndexer.SequenceLocation,0,82,0,0,0,30,0,15,0,15
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,GwasParser,111,605,22,32,13,120,20,23,0,14
cellbase-app,org.opencb.cellbase.app.transform.clinical.variant,ClinicalVariantParser,61,437,23,23,14,95,22,8,0,7
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation.indexers,PopulationFrequencyVariantIndexer,19,289,4,34,2,51,4,19,0,4
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation.indexers,VariantIndexer,42,202,5,13,13,49,3,13,0,7
cellbase-app,org.opencb.cellbase.app.cli.variant.annotation.indexers,CustomAnnotationVariantIndexer,0,136,3,9,0,28,3,8,0,5
cellbase-app,org.opencb.cellbase.app,CellBaseMain,190,0,42,0,45,0,29,0,2,0
